SampleID,Total_Reads
S012808,188
S012839,5666
S012849,10135
S012850,10899
S012858,7184
S012859,3163
S012860,12148
S012869,8345
S012870,10607
S012871,8852
S012872,7395
S012873,13657
S012878,12686
S012880,11010
S012881,12232
S012882,9530
S012883,5991
S012884,15555
S012889,18273
S012890,14808
S012891,17827
S012892,10138
S012893,9747
S012894,10951
S013000,1
S013002,9656
S013003,4615
S013004,11255
S013006,2
S013007,14105
S013008,2
S013009,12240
S013010,7309
S013011,10854
S013013,17528
S013014,148
S013016,9474
S013017,10855
S013019,14864
S013020,7159
S013021,995
S013022,50
S013023,1
S013024,28
S013025,12756
S013026,12325
S013027,15080
S013028,6068
S013029,12307
S013030,6068
S013031,8500
S013032,13433
S013033,12962
S013034,11235
S013035,9592
S013036,10786
S013038,1123
S013039,17905
S013040,6054
S013041,14269
S013042,178
S013043,13192
S013044,1
S013045,9386
S013047,13751
S013048,15173
S013050,8136
S013051,5
S013052,18
S013053,7624
S013054,14418
S013055,9544
S013056,11977
S013057,16729
S013058,15896
S013059,12603
S013060,13078
S013061,10735
S013062,4146
S013064,1
S013065,11789
S013066,8803
S013067,94
S013068,4828
S013069,15738
S013070,7244
S013071,5
S013072,13922
S013073,12907
S013074,9
S013075,12564
S013076,19007
S013077,12652
S013078,12227
S013080,13524
S013081,15052
S013082,9890
S013083,1601
S013084,140
S013085,12982
S013086,9876
S013087,12167
S013088,11979
S013089,19708
S013090,7882
S013091,11362
S013092,6871
S013093,37
S013094,15017
S013097,7438
S013098,11307
S013099,11684
S008866,12499
S009055,3839
S009059,12483
S009075,19906
S009032,15560
S008851,11802
S008880,18447
S008838,11322
S008809,19286
S008832,9735
S009045,9955
S008829,4908
S009037,14605
S009028,11467
S008867,6411
S009000,30298
S009038,27494
S009005,22274
S009026,25079
S009029,17131
S009048,14064
S008822,4774
S009077,14010
S009076,12673
S009090,21335
S009053,13457
S009050,28054
S009067,11134
S008896,9070
S009007,14095
S009098,21940
S008845,14037
S009008,26065
S008833,5602
S008827,23943
S008839,14108
S008888,7685
S008892,11702
S008854,13715
S009034,5624
S009002,2908
S009014,13854
S009056,25518
S009027,29379
S009084,35879
S008879,14398
S008834,7238
S008831,12662
S009001,9668
S008856,20531
S008848,18845
S008864,20519
S008818,22230
S009042,3280
S008836,16802
S009047,11493
S008869,25059
S009040,12912
S009012,12078
S009033,21525
S008887,14737
S008821,11508
S008826,22906
S008898,27939
S008852,14328
S009024,8594
S009079,15328
S009039,13500
S009085,15589
S009019,9980
S008843,21483
S008859,19287
S009088,13848
S009078,13344
S008870,15976
S008878,17782
S009099,4373
S008876,7171
S009074,2857
S009049,15770
S008824,5657
S008840,7134
S008850,7664
S009021,9901
S009041,11962
S009052,9900
S008895,9853
S009025,11768
S009096,6977
S009068,5172
S008842,20819
S009036,21132
S008853,7625
S008846,29007
S008820,24804
S008847,23183
S009016,16115
S008882,12108
S009018,11822
S009058,13435
S008819,5977
S009054,19578
S009086,15280
S008875,8348
S009046,8450
S009044,9872
S008885,7588
S009043,21610
S009066,15604
S008897,10833
S009010,13033
S008893,12487
S009023,16704
S008886,7369
S009089,14470
S009095,21453
S009013,5821
S009003,4575
S008828,15473
S009057,11617
S008868,23807
S008857,27313
S008837,9666
S009020,82
S008874,16756
S008849,15014
S009022,12256
S008823,12847
S009097,18097
S009065,10195
S009017,8952
S009064,14124
S009006,9210
S009030,16491
S008889,16692
S009015,10011
S008830,16110
S008844,16134
S009004,5470
S008877,8676
S009009,12072
S008865,5115
S008835,14766
S009087,9049
S008825,13140
S008841,15070
S009069,12962
S008858,10344
S009011,3312
S008855,4483
S009051,9948
S009035,1476
S010022,20099
S010035,2023
S010046,6246
S008804,6643
S010058,22975
S010013,6222
S010053,10741
S010072,20205
S010068,9956
S008812,11365
S010014,13738
S010002,3351
S010029,2628
S010043,12677
S010092,11527
S010085,6247
S010012,17747
S010003,9832
S008810,8316
S009092,9939
S010038,6499
S009072,4383
S010024,22671
S010004,5167
S008815,7545
S010031,12577
S010059,4110
S010049,7745
S008802,9269
S008811,6732
S010044,7233
S008813,12608
S008814,14390
S008803,7554
S010084,6069
S010063,11199
S008816,8894
S010082,4505
S010074,3714
S008806,11795
S010033,4651
S008817,5970
S010032,2415
S010069,4430
S009070,3247
S010019,2352
S012851,21481
S012861,1832
S012862,3693
S012863,40127
S008801,7385
S008805,2720
S008807,3862
S008860,5727
S008861,8331
S008862,4279
S008863,4414
S008871,4906
S008872,1880
S008873,2499
S008881,8921
S008883,1894
S008884,4803
S008890,2225
S008891,7896
S008894,15
S008899,4269
S009060,1146
S009062,6882
