SampleID,Total_Reads
S008824,14650
S008825,14648
S008826,21281
S008827,41732
S008834,18465
S008835,9580
S008836,32128
S008837,35064
S008844,24063
S008845,30110
S008846,18509
S008847,39954
S008854,6997
S008855,39035
S008856,33623
S008857,32950
S009020,12985
S009021,32777
S009022,39529
S009023,33376
S009030,27582
S009032,13438
S009033,24843
S009040,27894
S009041,12104
S009042,34162
S009043,10910
S009050,5261
S009051,29282
S009052,30201
S009053,34681
S009064,30754
S009065,23143
S009066,27159
S009067,18733
S009074,1988
S009075,17206
S009076,9528
S009077,17251
S009084,26785
S009085,32365
S009086,14209
S009087,11619
S009090,14941
S009095,32331
S009096,32212
S009097,21061
S012808,14937
S012839,18398
S012849,18736
S012850,18594
S012858,19279
S012859,19364
S012860,27593
S012869,19571
S012870,26960
S012871,21171
S012872,16218
S012873,27454
S012878,18006
S012880,30455
S012881,23988
S012882,23597
S012883,35432
S012884,15854
S012889,16115
S012890,29206
S012891,1551
S012892,25440
S012893,35476
S012894,16914
S013002,24984
S013003,11026
S013004,18250
S013006,1
S013007,21259
S013009,15813
S013010,10617
S013011,28686
S013012,21767
S013013,28248
S013014,19277
S013016,18714
S013017,19237
S013018,8
S013019,19156
S013020,15511
S013021,722
S013022,19281
S013023,13527
S013024,460
S013025,24857
S013026,20395
S013027,22381
S013028,23829
S013029,23228
S013030,10485
S013031,22999
S013032,21800
S013033,22359
S013034,24345
S013035,14359
S013036,19796
S013037,33
S013038,20551
S013039,13876
S013040,14857
S013041,20326
S013042,18451
S013043,18464
S013044,813
S013045,21371
S013046,32
S013047,21899
S013048,17694
S013049,7
S013050,12520
S013051,23005
S013052,4099
S013053,12914
S013054,25241
S013055,26714
S013056,22817
S013057,18946
S013058,19285
S013059,12538
S013060,19183
S013061,15614
S013062,12049
S013064,620
S013065,13619
S013066,20976
S013067,18915
S013068,16790
S013069,23164
S013070,26981
S013071,16237
S013072,29701
S013073,20534
S013074,2
S013075,19166
S013076,18689
S013077,27017
S013078,17844
S013079,11
S013080,16101
S013081,16963
S013082,14471
S013083,2595
S013084,18863
S013085,21099
S013086,22444
S013087,17669
S013088,21558
S013089,405
S013090,11620
S013091,28494
S013092,18179
S013093,44
S013094,24285
S013097,14939
S013098,20069
S013099,16638
S009063,12474
S008809,31654
S008818,32715
S008819,17751
S008820,19480
S008821,23784
S008822,30742
S008823,24502
S008828,29912
S008829,19545
S008830,23449
S008831,33255
S008832,13546
S008833,21291
S008838,36004
S008839,20780
S008840,19230
S008841,36222
S008842,28350
S008843,35029
S008848,26891
S008849,11965
S008850,25055
S008851,24349
S008852,36889
S008853,31454
S008858,29196
S008859,13781
S008864,31719
S008865,17988
S008866,35702
S008867,25339
S008868,24960
S008869,34457
S008870,32049
S008874,33546
S008875,20961
S008876,29295
S008877,24640
S008878,21401
S008879,30744
S008880,38177
S008882,25472
S008885,24635
S008886,15497
S008887,31353
S008888,35018
S008889,31777
S008892,34984
S008893,15619
S008895,27164
S008896,31178
S008897,22430
S008898,19554
S009000,21453
S009001,24517
S009002,22310
S009003,42241
S009004,21582
S009005,21090
S009006,40790
S009007,16791
S009008,17066
S009009,20009
S009010,31011
S009011,34357
S009012,27584
S009013,36855
S009014,28481
S009015,19449
S009016,26611
S009017,11758
S009018,19843
S009019,10462
S009024,19769
S009025,32103
S009026,41655
S009027,18335
S009028,17272
S009029,23417
S009034,22426
S009035,23770
S009036,21899
S009037,25492
S009038,36004
S009039,40570
S009044,23610
S009045,35221
S009046,2012
S009047,25991
S009048,17443
S009049,26501
S009054,1506
S009055,33649
S009056,22276
S009057,26684
S009058,28350
S009059,27861
S009068,19815
S009069,25750
S009078,22515
S009079,29774
S009088,15104
S009089,24590
S009098,22091
S009099,37951
S008802,23037
S008803,21234
S008804,24572
S008806,25826
S008810,25946
S008811,29615
S008812,18089
S008813,19650
S008814,13394
S008815,19179
S008816,9861
S008817,19735
S009070,15708
S009072,16639
S009092,30293
S010002,19708
S010003,14160
S010004,19516
S010012,10036
S010013,29480
S010014,15997
S010019,4657
S010022,19987
S010024,20610
S010029,17411
S010031,6496
S010032,18686
S010033,9354
S010035,16094
S010038,21535
S010043,12520
S010044,26855
S010046,12100
S010049,14047
S010053,1573
S010058,22791
S010059,11765
S010063,11720
S010068,17349
S010069,13898
S010072,24764
S010074,20838
S010082,15192
S010084,9660
S010085,7128
S010092,8473
S012851,2278
S012861,12154
S012862,16541
S012863,15404
S008801,9058
S008805,9412
S008807,12470
S008860,6480
S008861,14580
S008862,7916
S008863,14847
S008871,9776
S008872,4444
S008873,7252
S008881,11739
S008883,8524
S008884,10782
S008890,14605
S008891,16332
S008894,1807
S008899,3558
S009060,12616
S009062,8308
S009071,8276
S009073,9027
S009080,10520
S009081,13478
S009082,10568
S009083,13838
S009091,9511
S009093,14998
S009094,7168
S009971,15859
S009972,12386
S009973,11549
S009974,20863
S009976,14362
S009977,28
S009978,15631
S009979,101
S009982,13290
S009983,10496
S009984,11870
S009987,17125
S009988,15267
S009989,12600
S009990,15266
S009991,32732
S009992,12645
S009993,7782
S009995,15462
S009996,10710
S009998,20220
S009999,13219
S010000,3174
S010001,15531
S010005,8853
S010007,12700
S010008,11696
S010009,9610
S010010,7617
S010011,3865
S010015,10886
S010020,7025
S010021,12329
S010030,20355
S010036,15763
S010040,18629
S010041,16754
S010042,4918
S010045,14378
S010050,17538
S010051,17807
S010052,15728
S010056,5448
S010057,14922
S010060,5949
S010061,17123
S010066,12115
S010067,17711
S010070,14179
S010071,12197
S010075,11635
S010076,6756
S010077,15705
S010078,9403
S010079,12195
S010080,9376
S010081,6836
S010086,11628
S010087,20486
S010088,12967
S010089,13138
S010090,16282
S010091,22890
S010094,13896
S010095,12732
S010096,19013
S010097,14336
S010098,9927
S010099,13855
