"WeeTU","Sample","Reads"
"95.WeeTU","S009007",351
"297.WeeTU","S009007",1
"281.WeeTU","S009007",3
"497.WeeTU","S009007",1
"366.WeeTU","S009007",3
"420.WeeTU","S009007",5
"339.WeeTU","S009007",1
"424.WeeTU","S009007",1
"671.WeeTU","S009007",1
"361.WeeTU","S009007",1
"446.WeeTU","S009007",3
"434.WeeTU","S009007",1
"405.WeeTU","S009007",1
"305.WeeTU","S009007",1
"198.WeeTU","S009007",109
"551.WeeTU","S009007",1
"380.WeeTU","S009007",2
"195.WeeTU","S009007",93
"532.WeeTU","S009007",1
"872.WeeTU","S009007",1
"318.WeeTU","S009007",5
"493.WeeTU","S009007",3
"20.WeeTU","S009007",1
"38.WeeTU","S009007",3
"56.WeeTU","S009037",2926
"297.WeeTU","S009037",3
"281.WeeTU","S009037",5
"497.WeeTU","S009037",2
"420.WeeTU","S009037",2
"632.WeeTU","S009037",1
"671.WeeTU","S009037",3
"361.WeeTU","S009037",4
"446.WeeTU","S009037",1
"434.WeeTU","S009037",3
"405.WeeTU","S009037",4
"556.WeeTU","S009037",2
"417.WeeTU","S009037",1
"551.WeeTU","S009037",1
"380.WeeTU","S009037",1
"465.WeeTU","S009037",3
"532.WeeTU","S009037",2
"523.WeeTU","S009037",1
"559.WeeTU","S009037",7
"483.WeeTU","S009037",2
"678.WeeTU","S009037",5
"9.WeeTU","S009099",8
"17.WeeTU","S009099",4
"10.WeeTU","S009099",1
"68.WeeTU","S009099",555
"77.WeeTU","S009099",1
"297.WeeTU","S009099",2
"281.WeeTU","S009099",2
"497.WeeTU","S009099",1
"420.WeeTU","S009099",1
"339.WeeTU","S009099",2
"424.WeeTU","S009099",1
"671.WeeTU","S009099",1
"446.WeeTU","S009099",2
"434.WeeTU","S009099",1
"405.WeeTU","S009099",1
"380.WeeTU","S009099",1
"532.WeeTU","S009099",1
"523.WeeTU","S009099",1
"872.WeeTU","S009099",1
"32.WeeTU","S009099",2
"27.WeeTU","S009099",10
"37.WeeTU","S009016",2537
"127.WeeTU","S009016",2608
"297.WeeTU","S009016",2
"497.WeeTU","S009016",2
"420.WeeTU","S009016",1
"632.WeeTU","S009016",1
"671.WeeTU","S009016",1
"361.WeeTU","S009016",2
"434.WeeTU","S009016",2
"405.WeeTU","S009016",1
"417.WeeTU","S009016",3
"380.WeeTU","S009016",1
"523.WeeTU","S009016",1
"435.WeeTU","S009016",6
"656.WeeTU","S009016",2
"88.WeeTU","S008895",987
"497.WeeTU","S008895",1
"671.WeeTU","S008895",3
"405.WeeTU","S008895",1
"556.WeeTU","S008895",1
"305.WeeTU","S008895",1
"417.WeeTU","S008895",3
"380.WeeTU","S008895",1
"532.WeeTU","S008895",2
"523.WeeTU","S008895",1
"474.WeeTU","S008895",8
"25.WeeTU","S008895",1
"802.WeeTU","S008895",1
"297.WeeTU","S009001",3
"281.WeeTU","S009001",1
"497.WeeTU","S009001",3
"366.WeeTU","S009001",2
"420.WeeTU","S009001",1
"339.WeeTU","S009001",1
"632.WeeTU","S009001",2
